标志,ID,人物,位置,内容,跳转,
#,0,胡雪岩,右,12岁我父亲离世，受家乡外出做徽商成就功业的影响，我便离开家乡去了浙江。,1,
#,1,胡雪岩,右,我在许多商行打过杂，有幸被被杭州阜康钱庄于掌柜收为义子继承钱庄。后又得王知府赏识，委以重任。,2,
P3,2,胡雪岩,右,那时国门被洋人强行炸开，太平军起义，我四处发展商业，愿有一日能为清国内忧外患的局面寻找破局之法。,3,
P4,3,胡雪岩,右,太平军攻打杭州，我四处购运军火、粮食接济清军，但终究杭州城破。,4,
P4,4,胡雪岩,右,此后，我获得新任闽浙总督左宗棠的信赖，被委任为总管，主持杭州城解围后的善后事宜及浙江全省的钱粮、军饷。,5,
P5,5,胡雪岩,右,我来往于通商口岸，深刻意识到洋人武器的厉害之处，这也使得洋人常以此要挟我们，骑在我们头上。,6,
P6,6,胡雪岩,右,但是我们亦需要洋人的枪炮。我协助左宗棠筹办军饷和军火，还训练了一队约千余人、全部用洋枪洋炮装备的常捷军。他们曾与清军联合进攻过宁波、奉化、绍兴等地。,7,
P7,7,胡雪岩,右,如若可以，我愿助朝廷一臂之力，除内忧御外敌。,8,
P8,8,胡雪岩,右,我在各省设立阜康银号二十余处，同时兼营药材、丝茶，开办胡庆余堂；设立粥厂、善堂、义垫，修复名寺古刹，收殓了数十万具暴骸；恢复了因战乱而一度终止的牛车；向官绅大户劝捐，以解决战后财政危机等事务。,9,
P9,9,胡雪岩,右,在经过两次被强行打开大门和太平天国的内乱后，为富国强兵，朝廷决定师夷长技以制夷。我协助左都督创办福州船政局。,10,
P10,10,胡雪岩,右,在经过两次被强行打开大门和太平天国的内乱后，为富国强兵，朝廷决定师夷长技以制夷。我协助左都督创办福州船政局。,11,
P11,11,胡雪岩,右,小儿，你可知当年第一艘轮船“万年清”号成功下水是何等的壮观。万众欢腾，盛况空前，连洋人也深感惊奇。此吾中国一大转机，由贫弱而富强，实基于此。,12,
P12,12,胡雪岩,右,印象最深得是当年发兵新疆。军饷不够，外债难借，连恭亲王向洋人举债都被拒绝。但是，收复失地刻不容缓，我如何能袖手旁观,13,
P12,13,胡雪岩,右,于是我以江苏、浙江、广东海关收入作担保，先后六次出面借外债1870万两白银，保证西征军的经费充足。新疆荒蛮，恐有水土不服之虞，于是我还命人给西征将士送了“诸葛行军散”、“胡氏避瘟丹”等大批药材，免去此苦。,14,
P13,14,胡雪岩,右,那时满是满腔抱负将要实现的豪情壮志。,15,
P13,15,胡雪岩,右,我因协助左宗棠收复新疆有功，被授予布政使衔（从二品） ，赏穿黄马褂、官帽上可带二品红色顶戴，并总办“四省公库”。人在其位谋其职。,16,
P14,16,胡雪岩,右,洋人剥削中国商人，骑在我们的头上如此之久，我如何能再忍气吞声。我计划用囤积生丝的方式垄断生丝生意，从而与洋人谈判，以争取国商在与洋商贸易中的主动权，改变洋商剥削中国的现状。,17,
P15,17,胡雪岩,右,奈何……，天要人亡，人，不得不亡。我终究是失败了。,18,
P16,18,胡雪岩,右,我死前才明白：我从前只看到了朝廷外的内忧外患，从未看到金玉表层下内里的败絮。,19,
NEXT3,19,,,,,
