标志,ID,人物,位置,内容,跳转,扩展属性
@,111,,,我走到一处雅致的小桥上，突然一阵怪雾袭来，雾气中传来阵阵战船破浪声，待雾散去，我发现眼前出现了一座军营,112,军营外面|
#,112,我,左,“浙直总督府”…这是哪里？,113,
￥,113,,,（点击帐篷继续）,114,|帐篷
@,114,,,,115,帐篷内部|
￥,115,,,（点击中年人继续）,116,|胡宗宪
@,116,,,胡宗宪，字汝贞、汝钦，号梅林，绩溪县龙川人，明朝抗倭名将,117,
#,117,我,左,这居然是胡宗宪！在我看的明史中，少不了他的身影。我对他印象很深，他是一个很复杂的人。,118,
#,118,胡宗宪,右,你！去把海事图拿来。,119,
@,119,,,我愣了一下，才发现他是在叫我，我低头看看自己，发现自己穿着一身软甲，看起来像是一个小兵。,120,
#,120,我,左,是！,121,
￥,121,,,（点击海事图继续）,122,|海事图
#,122,胡宗宪,右,你想了解什么？,123,
&,123,,,帐中荐才  ,128,
&,124,,,辕门治军,139,
&,125,,,密室用间 ,149,
&,126,,,衙署赈灾,160,
&,127,,,没什么想了解的,171,
@,128,,,,129,荐才场景|
￥,129,,,（点击舆图继续）,130,|舆图
#,130,将领1,右,（指着舆图上“岑港”二字，语气焦躁）倭寇在岑港筑寨顽抗，我军强攻半月损兵折将，兵士们都快撑不住了，总督大人，您得拿个主意啊！,131,
#,131,胡宗宪,右,（手指在舆图上缓缓划过，目光沉稳）岑港易守难攻，硬拼不是办法。我倒有个人选，或许能破此局。,132,
￥,132,,,（点击手稿继续）,133,|手稿
#,133,我,左,（看着手稿上“义乌矿工可练为兵”的批注，心中一惊）难道他说的是戚继光？可我记得戚继光当时只是个小官，直接委以重任，将领们会同意吗？,134,
#,134,将领2,左,（果然皱眉反驳）大人说的可是戚继光？此人虽有些想法，但资历太浅，让他领兵，恐难服众！,135,
#,135,胡宗宪,左,（拿起手稿，指着上面的战术设计）资历深浅算不得什么，要看真本事。元敬这练兵策论，句句戳中明军弊病——义乌矿工民风剽悍，若加以严格训练，必成抗倭劲旅。我已上书朝廷，举荐他为参将，粮饷、兵器我亲自督办，定让他无后顾之忧。,136,
@,136,,,嘉靖三十五年（1556年），胡宗宪出任浙直总督，面对明军战斗力孱弱、倭寇肆虐东南的困境，他不拘一格选拔人才。当时仅任浙江都司佥书的戚继光，提出“招募义乌矿工组建新军”的设想，虽遭多数将领反对，胡宗宪却认定其军事潜力。,137,
@,137,,,他力排众议，破格提拔戚继光为参将，不仅调拨充足粮饷与精良兵器，还允许戚继光打破传统军纪，按实战需求创新训练方法。最终，戚家军凭借严明纪律与“鸳鸯阵”等战术，成为抗倭主力，先后平定岑港、台州等倭寇据点，而这一切的起点，正是胡宗宪对人才的精准识辨与鼎力扶持。,138,
@,138,,,你已了解帐中荐才。,122,
@,139,,,,140,治军图|
￥,140,,,（点击被绑士兵继续),141,|被绑士兵
