标志,ID,人物,位置,内容,跳转,扩展属性
#,0,我,左,你是晚清时期红顶商人胡雪岩！,1,山林|
#,1,胡雪岩,右,黄毛小儿，你认得我？,2,
#,2,我,左,当然。你为何会在这？,3,
#,3,胡雪岩,右,呵。这，是我家乡。我一生大半数都在外地，如今我想回来再看看。,4,
#,4,我,左,（原来如此，魂归故里）,5,
#,5,我,左,那我便陪您一起吧。,6,
#,6,胡雪岩,右,这是我幼时的生活。,7,放牛|
#,7,胡雪岩,右,我幼时贫寒，以放牛为生。,8,
#,8,胡雪岩,右,我自小便喜好算数。,9,
#,9,父亲,左,娃，走吧，回家吃饭,10,
#,10,父亲,左,给，先吃点芝麻糕吧。,11,
#,11,胡雪岩,右,那是我父亲。走吧，我们也去。,12,放牛2|
#,12,胡雪岩,右,我自流浪许久，如今才算安稳啊。小儿，已许久未有人能与我说上话，你可嫌我多说几句。,13,吃饭|
#,13,我,左,怎会，乐意至极。,14,
#,14,胡雪岩,右,12岁我父亲离世，受家乡外出做徽商成就功业的影响，我便离开家乡去了浙江。,15,茶庄掌柜点账图|
#,15,胡雪岩,右,我在许多商行打过杂，有幸被被杭州阜康钱庄于掌柜收为义子继承钱庄。后又得王知府赏识，委以重任。,16,
#,16,胡雪岩,右,那时国门被洋人强行炸开，太平军起义，我四处发展商业，愿有一日能为清国内忧外患的局面寻找破局之法。,17,办药店图|
#,17,胡雪岩,右,太平军攻打杭州，我四处购运军火、粮食接济清军，但终究杭州城破。,18,运军火粮食给清军图|
#,18,胡雪岩,右,此后，我获得新任闽浙总督左宗棠的信赖，被委任为总管，主持杭州城解围后的善后事宜及浙江全省的钱粮、军饷。,19,
#,19,胡雪岩,右,我来往于通商口岸，深刻意识到洋人武器的厉害之处，这也使得洋人常以此要挟我们，骑在我们头上。,20,通商口洋人刁难图|
#,20,胡雪岩,右,但是我们亦需要洋人的枪炮。我协助左宗棠筹办军饷和军火，还训练了一队约千余人、全部用洋枪洋炮装备的常捷军。他们曾与清军联合进攻过宁波、奉化、绍兴等地。,21,训练军队图|
#,21,胡雪岩,右,如若可以，我愿助朝廷一臂之力，除内忧御外敌。,22,开办胡庆余堂图|
#,22,胡雪岩,右,我在各省设立阜康银号二十余处，同时兼营药材、丝茶，开办胡庆余堂；设立粥厂、善堂、义垫，修复名寺古刹，收殓了数十万具暴骸；恢复了因战乱而一度终止的牛车；向官绅大户劝捐，以解决战后财政危机等事务。,23,乡民感谢胡雪岩图|
#,23,胡雪岩,右,在经过两次被强行打开大门和太平天国的内乱后，为富国强兵，朝廷决定师夷长技以制夷。我协助左都督创办福州船政局。,24,开办福州船政局图|
#,24,胡雪岩,右,在经过两次被强行打开大门和太平天国的内乱后，为富国强兵，朝廷决定师夷长技以制夷。我协助左都督创办福州船政局。,25,人们造船图|
#,25,胡雪岩,右,小儿，你可知当年第一艘轮船“万年清”号成功下水是何等的壮观。万众欢腾，盛况空前，连洋人也深感惊奇。此吾中国一大转机，由贫弱而富强，实基于此。,26,船下海图|
#,26,胡雪岩,右,印象最深得是当年发兵新疆。军饷不够，外债难借，连恭亲王向洋人举债都被拒绝。但是，收复失地迫在眉睫（反正就是很有必要的意思），我如何能袖手旁观,27,发兵新疆|
#,27,胡雪岩,右,于是我以江苏、浙江、广东海关收入作担保，先后六次出面借外债1870万两白银，保证西征军的经费充足。新疆荒蛮，恐有水土不服之虞，于是我还命人给西征将士送了“诸葛行军散”、“胡氏避瘟丹”等大批药材，免去此苦。,28,
#,28,胡雪岩,右,那时满是满腔抱负将要实现的豪情壮志。,29,满怀抱负|
#,29,胡雪岩,右,我因协助左宗棠收复新疆有功，被授予布政使衔（从二品） ，赏穿黄马褂、官帽上可带二品红色顶戴，并总办“四省公库”。人在其位谋其职。,30,
#,30,胡雪岩,右,洋人剥削中国商人，骑在我们的头上如此之久，我如何能再忍气吞声。我计划用囤积生丝的方式垄断生丝生意，从而与洋人谈判，以争取国商在与洋商贸易中的主动权，改变洋商剥削中国的现状。,31,洋人剥削|
#,31,胡雪岩,右,奈何……，天要人亡，人，不得不亡。我终究是失败了。,32,大殿|
#,32,胡雪岩,右,我死前才明白：我从前只看到了朝廷外的内忧外患，从未看到金玉表层下内里的败絮。,33,处决|
#,33,我,左,我们已在和平年代，我们将铭记过往种种，更加珍惜当下。,34,现代|
#,34,胡雪岩,右,哈哈，如今我也算实现了夙愿了。我已了无牵挂，只是想再回来走走家的路。,35,
#,35,胡雪岩,右,小儿，有缘再会。,36,
#,36,我,左,再见。,37,
END1,37,,,,,
